Ticker,Name,Weight,Shares,Price,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
AVB UN Equity,AvalonBay Communities Inc,--,--,186.0,,,,,,,,,,,,,
PRU UN Equity,Prudential Financial Inc,--,--,100.44,,,,,,,,,,,,,
UPS UN Equity,United Parcel Service Inc,--,--,84.88,,,,,,,,,,,,,
WBA UW Equity,Walgreens Boots Alliance Inc,--,--,11.645,,,,,,,,,,,,,
STE UN Equity,STERIS PLC,--,--,227.17,,,,,,,,,,,,,
MCK UN Equity,McKesson Corp,--,--,696.53,,,,,,,,,,,,,
LMT UN Equity,Lockheed Martin Corp,--,--,422.61,,,,,,,,,,,,,
COR UN Equity,Cencora Inc,--,--,288.95,,,,,,,,,,,,,
COF UN Equity,Capital One Financial Corp,--,--,207.65,,,,,,,,,,,,,
CPB UW Equity,The Campbell's Company,--,--,32.2,,,,,,,,,,,,,
WAT UN Equity,Waters Corp,--,--,288.01,,,,,,,,,,,,,
NDSN UW Equity,Nordson Corp,--,--,208.74,,,,,,,,,,,,,
DLTR UW Equity,Dollar Tree Inc,--,--,113.59,,,,,,,,,,,,,
DRI UN Equity,Darden Restaurants Inc,--,--,202.74,,,,,,,,,,,,,
EVRG UW Equity,Evergy Inc,--,--,71.42,,,,,,,,,,,,,
